country,A1,A2,A3,B1,B2,C1,C2,C3,C4,D1,E1,E2,E3,F1,F2,G1,G2,H1,H2,I1,J1,J2,K1,K2
Australia,4,3,5,5,4,4,4,4,5,4,4,4,5,4,4,5,5,4,5,4,4,4,3,4
Austria,4,3,3,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,4,4
Belgium,4,3,5,4,5,3,4,3,4,4,3,4,5,3,4,3,5,4,4,4,2,4,4,2
Brazil,2,3,3,2,2,4,4,4,2,4,2,0,3,4,3,2,4,2,4,4,2,0,3,3
Canada,4,3,5,4,4,4,3,4,4,4,4,4,3,4,4,5,3,4,5,4,5,4,4,5
Chile,2,4,2,2,3,3,4,4,2,3,2,2,3,0,3,2,2,3,3,4,2,3,3,4
Czech Republic,4,1,3,3,3,4,4,4,2,3,5,4,4,4,4,3,3,3,3,3,4,4,4,3
Denmark,4,2,4,4,4,4,4,4,4,5,4,4,5,4,5,3,5,4,4,5,4,4,4,1
Estonia,2,4,3,2,2,4,4,3,2,4,4,5,4,5,3,2,3,2,3,2,3,3,4,3
Finland,4,3,4,4,3,4,3,4,4,5,4,5,5,4,5,4,3,4,3,5,4,4,4,3
France,4,3,4,4,4,3,3,3,4,3,3,4,3,4,4,2,4,4,4,3,3,4,4,3
Germany,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,3,4,4,4,4,3
Greece,4,2,2,3,3,1,1,0,3,2,3,3,4,3,2,3,3,4,4,1,4,4,4,3
Hungary,3,3,2,2,3,2,3,3,2,3,4,3,4,4,3,4,3,2,3,1,4,4,4,3
Iceland,4,2,3,3,4,6,4,4,5,5,3,3,5,4,5,3,4,5,4,5,4,4,3,4
Ireland,4,4,5,3,3,3,3,2,5,5,4,4,4,4,3,4,4,4,5,4,4,4,4,3
Israel,3,3,2,3,4,4,4,4,3,3,4,3,2,3,2,2,3,4,4,5,2,4,3,4
Italy,4,2,3,4,4,2,3,3,3,4,2,3,3,3,2,3,4,4,3,3,3,4,4,3
Japan,2,3,4,4,5,4,5,4,3,4,5,5,3,3,4,4,2,5,1,3,5,4,2,3
Korea,3,5,3,3,3,3,4,4,4,0,4,5,4,2,3,5,4,4,1,3,4,4,2,4
Luxembourg,4,3,4,6,4,4,4,4,5,3,4,3,2,4,4,3,5,4,4,4,3,4,4,3
Mexico,3,3,2,2,3,3,4,4,2,1,1,1,1,2,2,4,3,2,3,4,0,0,1,5
Netherlands,4,4,4,4,5,5,4,4,4,4,3,4,4,2,4,3,4,4,4,4,3,4,5,2
New Zealand,4,2,5,3,3,4,4,4,3,4,3,4,4,4,4,5,4,4,5,4,4,4,3,4
Norway,4,5,4,5,3,5,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,2
Poland,3,3,2,3,3,3,3,3,2,4,4,4,4,2,3,5,2,3,3,3,5,4,4,5
Portugal,4,4,3,3,3,3,2,2,3,3,1,3,4,4,4,3,3,4,2,2,3,4,3,3
Russia,0,7,2,3,2,4,4,4,2,4,5,3,2,4,1,2,3,0,1,3,4,2,5,3
Slovak Republic,4,1,2,3,3,3,4,2,2,4,5,3,3,4,3,3,3,2,3,3,4,4,4,3
Slovenia,4,3,3,3,3,3,4,3,3,4,4,4,4,3,4,5,2,4,3,2,4,4,4,4
Spain,4,3,4,3,3,2,0,1,3,5,2,3,4,3,2,4,3,4,4,3,3,4,4,1
Sweden,4,3,4,4,4,5,3,4,4,4,4,3,5,5,5,5,5,4,4,4,3,4,4,3
Switzerland,4,3,4,5,6,5,4,4,5,5,4,4,3,3,5,4,2,5,4,5,3,4,4,3
Turkey,1,3,2,2,2,1,3,4,2,3,1,2,3,2,2,3,5,2,4,2,3,4,0,6
United Kingdom,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,5,3,4,4,4,4,4,3,4
United States,4,4,5,6,7,4,3,4,5,4,4,3,3,4,4,4,3,3,5,4,5,3,3,5
