id,value
flare,
flare.Almond-Australia,
flare.Almond-Australia.s,
flare.Almond-Australia.s.0,1211
flare.Almond-Australia.s.2,97
flare.Almond-Australia.s.3,106
flare.Almond-Israel,
flare.Almond-Israel.s,
flare.Almond-Israel.s.0,306
flare.Almond-Israel.s.1,7
flare.Almond-Israel.s.2,38
flare.Almond-Israel.s.3,4
flare.Almond-United States,
flare.Almond-United States.s,
flare.Almond-United States.s.0,526
flare.Almond-United States.s.1,40
flare.Almond-United States.s.2,180
flare.Almond-United States.s.3,36
flare.Avocado-Israel,
flare.Avocado-Israel.s,
flare.Avocado-Israel.s.0,1129
flare.Avocado-Israel.s.1,17
flare.Avocado-Israel.s.2,41
flare.Avocado-Israel.s.3,18
flare.Avocado-Peru,
flare.Avocado-Peru.s,
flare.Avocado-Peru.s.0,50
flare.Avocado-Peru.s.1,11
flare.Avocado-Peru.s.2,8
flare.Avocado-Peru.s.3,5
flare.Pistachio-United States,
flare.Pistachio-United States.s,
flare.Pistachio-United States.s.0,170
flare.Pistachio-United States.s.1,23
flare.Pistachio-United States.s.2,15
flare.Pistachio-United States.s.3,8
flare.Citrus-Israel,
flare.Citrus-Israel.s,
flare.Citrus-Israel.s.0,196
flare.Citrus-Israel.s.1,18
flare.Citrus-Israel.s.2,12
flare.Citrus-Israel.s.3,8
flare.Citrus-United States,
flare.Citrus-United States.s,
flare.Citrus-United States.s.0,280
flare.Citrus-United States.s.1,26
flare.Citrus-United States.s.2,16
flare.Citrus-United States.s.3,8
flare.Coffee-Brazil,
flare.Coffee-Brazil.s,
flare.Coffee-Brazil.s.0,60
flare.Coffee-Brazil.s.1,9
flare.Coffee-Brazil.s.2,4
flare.Coffee-Brazil.s.3,4
flare.Mango-Brazil,
flare.Mango-Brazil.s,
flare.Mango-Brazil.s.0,336
flare.Mango-Brazil.s.1,15
flare.Mango-Brazil.s.2,25
flare.Mango-Brazil.s.3,5
flare.Mango-Israel,
flare.Mango-Israel.s,
flare.Mango-Israel.s.0,186
flare.Mango-Israel.s.1,5
flare.Mango-Israel.s.2,15
flare.Mango-Israel.s.3,5
flare.Mango-United States,
flare.Mango-United States.s,
flare.Mango-United States.s.0,436
flare.Mango-United States.s.1,25
flare.Mango-United States.s.2,35
flare.Mango-United States.s.3,20
