State,SO2,temp,manu,popul,wind,precip,predays
Albany,1.197149696,0.836306484,0.060025345,0.137180843,0.910278805,0.854449904,1.140929721
Albuquerque,0.286274927,0.997945552,0.06275377,0.288552807,0.920622882,0.199013062,0.490177213
Atlanta,0.624599841,1.080522032,0.502030162,0.587748955,0.941311037,1.238132744,0.971903096
Baltimore,1.223174689,0.966320517,0.852632748,1.070247091,0.993031424,1.058073307,0.938097771
Buffalo,0.286274927,0.827521752,0.533407047,0.547540777,1.282665589,0.924885672,1.40292099
Charleston,0.806774795,0.969834409,0.047747434,0.083964136,0.672365026,1.043730023,1.250797027
Chicago,2.862749273,0.889014875,4.561926254,3.984157401,1.075784042,0.882111951,1.031062415
Cincinnati,0.598574848,0.948751053,0.630266127,0.535714842,0.73442949,0.999931782,1.115575727
Cleveland,1.691624571,0.873202358,1.373761883,0.888127696,1.127504429,0.896199104,1.309956346
Columbus,0.676649828,0.904827393,0.362880497,0.638600474,0.88959065,0.947937378,1.13247839
Dallas,0.234224941,1.163098513,0.874460146,0.998108889,1.127504429,0.920531461,0.659203839
Denver,0.442424888,0.911855178,0.619352428,0.609035637,0.93096696,0.331688437,0.726814489
Des Moines,0.442424888,0.860903733,0.141878089,0.237701288,1.158536661,0.790161257,0.87048712
Detroit,0.910874769,0.876716251,1.45152199,1.78926392,1.04475181,0.792978687,1.090221733
Hartford,1.45739963,0.862660679,0.562055507,0.186849768,0.93096696,1.110836101,1.073319071
Houston,0.260249934,1.210536065,0.983597138,1.458137749,1.117160352,1.234290793,0.87048712
Indianapolis,0.728699815,0.918882964,0.492480675,0.882214729,1.003375501,0.99224788,1.022611083
Jacksonville,0.364349907,1.201751333,0.185532886,0.625591946,0.910278805,1.395140475,0.980354427
Kansas City,0.364349907,0.957535785,0.519764923,0.599574889,1.034407733,0.947681248,0.836681795
Little Rock,0.338324914,1.0717373,0.124143328,0.156102338,0.848214341,1.242743085,0.845133127
Louisville,0.780749802,0.976862195,0.396985807,0.701277928,0.858558418,1.104176719,1.039513746
Memphis,0.260249934,1.082278979,0.459739578,0.737938325,0.951655114,1.257598629,0.887389783
Miami,0.260249934,1.326494527,0.282391966,0.396168813,0.93096696,1.531657801,1.081770402
Milwaukee,0.416399894,0.802924502,0.776236854,0.847919518,1.220601125,0.744570105,1.039513746
Minneapolis,0.754724808,0.764271681,0.953584465,0.879849542,1.096472197,0.664401394,1.157832384
Nashville,0.468449881,1.043626158,0.375158409,0.529801875,0.817182109,1.178198308,1.005708421
New Orleans,0.234224941,1.199994387,0.278299329,0.426916243,0.868902496,1.45405039,0.955000433
Norfolk,0.806774795,1.041869212,0.13096439,0.364238789,1.096472197,1.144389139,0.980354427
Omaha,0.364349907,0.904827393,0.246922444,0.410359934,1.127504429,0.773000542,0.828230464
Philadelphia,1.795724544,0.959292731,2.308247375,2.306057267,0.993031424,1.022727358,0.971903096
Phoenix,0.260249934,1.235133315,0.29057724,0.6882694,0.62064464,0.180571697,0.304247926
Pittsburgh,1.587524597,0.885500983,0.473381702,0.614948605,0.972343269,0.927703103,1.242345696
Providence,2.446349379,0.878473197,0.467924852,0.211684231,1.096472197,1.094956036,1.056416408
Richmond,0.676649828,1.015515016,0.268749842,0.353595448,0.786149877,1.090857955,0.971903096
Salt Lake City,0.728699815,0.896042661,0.186897098,0.208136451,0.899934728,0.388549312,0.752168483
San Francisco,0.312299921,0.996188605,0.617988216,0.846736925,0.899934728,0.529164718,0.566239195
Seattle,0.754724808,0.897799607,0.517036498,0.627957133,0.972343269,0.99352853,1.386018328
St. Louis,1.45739963,0.982133034,1.057264607,0.735573138,0.982687346,0.919250811,0.887389783
Washington,0.754724808,1.006730284,0.59206818,0.895223257,0.961999192,0.996089831,0.938097771
Wichita,0.208199947,0.994431659,0.17052655,0.327578391,1.313697821,0.783245745,0.693009164
Wilmington,0.936899762,0.948751053,0.109136992,0.094607478,0.93096696,1.03092352,0.963451764
